Sentence,Emotion,Translated
"Okay, Jasmine, please, please don't. I love my girlfriend very much, and I want more than anything to just work it out with her. Okay?",happiness,"D'accord, Jasmine, s'il vous plaît, s'il vous plaît ne le faites pas.J'aime beaucoup ma copine, et je veux plus que tout pour travailler avec elle.D'accord?"
All right.,happiness,D'accord.
"Thank you, thank you.",happiness,"Merci, merci."
"But you should probably talk to my roommate, because I told him and he knows Phoebe too.",fear,"Mais vous devriez probablement parler à mon colocataire, parce que je lui ai dit et il connaît aussi Phoebe."
Who's your roommate?,anger,Qui est votre colocataire?
They've been quiet for a long time.,neutral,Ils sont silencieux depuis longtemps.
Maybe she killed him?,fear,Peut-être qu'elle l'a tué?
Let's go.,fear,Allons-y.
Is that your new walk?,neutral,Est-ce votre nouvelle promenade?
"No, I really have to pee.",sadness,"Non, je dois vraiment faire pipi."
"Hey, can you close that window Chandler? My nipples can cut glass over here!",neutral,"Hé, pouvez-vous fermer cette fenêtre Chandler?Mes mamelons peuvent couper du verre ici!"
Wait. Really?! 'Cause mine get me out of tickets.,neutral,Attendez.Vraiment?!Parce que le mien me fait sortir des billets.
"Look, you guys I just wanna say, I really, really appreciate you spending this time with me. It's been a pretty hard time right now, so I just wanna say thanks.",happiness,"Écoutez, vous les gars, je veux juste dire, j'apprécie vraiment, vraiment que vous passiez ce temps avec moi.Ça a été une période assez difficile en ce moment, donc je veux juste dire merci."
Can somebody else hug him? I have to stay by the window.,neutral,Quelqu'un d'autre peut-il le serrer dans ses bras?Je dois rester près de la fenêtre.
"Oh hey, hey, huh, how about this weekend we have a laser disc marathon okay, and maybe a tournament on my new dart board? Huh, huh, what do you think? Two days of darts, it'll be great!",happiness,"Oh hé, hé, hein, que diriez-vous de ce week-end, nous avons un marathon de disque laser, et peut-être un tournoi sur ma nouvelle planche DART?Huh, hein, qu'en pensez-vous?Deux jours de fléchettes, ce sera génial!"
It'll be great for next weekend.,happiness,Ce sera super pour le week-end prochain.
"No, no, no, this weekend guys!",neutral,"Non, non, non, ce week-end les gars!"
"It'll be great for next weekend. I mean, it'll be grrreat.",happiness,"Ce sera super pour le week-end prochain.Je veux dire, ce sera Grrreat."
What's going on?,neutral,Que se passe-t-il?
"Well, we were um, sorta invited to go skiing, y'know Rachel's sister's cabin.",neutral,"Eh bien, nous étions euh, une sorte invitée à skier, vous savez la cabine de la sœur de Rachel."
"So, for the whole weekend?",sadness,"Alors, pour tout le week-end?"
"We're really sorry, but um, she did ask us first.",neutral,"Nous sommes vraiment désolés, mais euh, elle nous a d'abord demandé."
"Yeah, that's okay, I mean if you guys all have to go away for the first weekend I'm alone by myself, y'know then I totally, totally understand.",sadness,"Ouais, ça va, je veux dire que si vous devez tous partir pour le premier week-end, je suis seul seul, vous savez que je comprends totalement, totalement."
"Y'know what, I can stay, I'm gonna stay. 'Cause the last time I went skiing I was to afraid to jump off the chair lift, I just went around and around.",neutral,"Vous savez quoi, je peux rester, je vais rester.Parce que la dernière fois que je suis allé skier, j'avais peur de sauter de la chaise, je faisais le tour."
"Uh, Pheebs we kinda need you to drive us all up there in your grandmother's cab, but y'know what, I'll stay.",neutral,"Euh, Pheebs, nous avons un peu besoin que vous nous conduisez tous là-haut dans le taxi de votre grand-mère, mais vous savez quoi, je vais rester."
Noo! I'll stay. He's my brother.,sadness,NOO!Je vais rester.C'est mon frère.
What a pity stay?,sadness,Quel séjour dommage?
No! We're gonna have fun. We can make fudge!,happiness,Non!Nous allons nous amuser.Nous pouvons faire du fudge!
"Pity food? Y'know what that's okay, all right, I don't need any of you to stay, okay nobody stays.",sadness,"Nourriture dommage?Vous savez ce que ça va, d'accord, je n'ai besoin de aucun de vous pour rester, d'accord, personne ne reste."
"Well, then, I might as well offer to stay.",neutral,"Eh bien, je pourrais aussi bien offrir de rester."
"Hey, does anybody else feel bad about Ross?",sadness,"Hé, est-ce que quelqu'un d'autre se sent mal à propos de Ross?"
Why? Do you think he's still mad at us?,happiness,Pourquoi?Pensez-vous qu'il est toujours en colère contre nous?
Well he's probably mad after you called him this morning to borrow his goggles.,happiness,"Eh bien, il est probablement fou après l'avoir appelé ce matin pour emprunter ses lunettes."
What? Mine aren't tinted.,fear,Quoi?Les miens ne sont pas teintés.
Chandler!!,happiness,Chandler !!
What?,neutral,Quoi?
What does the sign say?,happiness,Que dit le signe?
Beam me up Jesus.,fear,Mettez-moi Jésus.
"No, the 'No Smoking' sign. There's no smoking in my Grandmother's cab.",happiness,"Non, le signe «non fumer».Il n'y a pas de fumer dans le taxi de ma grand-mère."
"Okay, well, then, I-I have to go to the bathroom.",happiness,"D'accord, bien, je dois aller aux toilettes."
Oh!,happiness,Oh!
Please!,neutral,S'il te plaît!
No Chandler no! No unscheduled stops. You can go when we stop for gas.,neutral,Pas de Chandler non!Aucun arrêt imprévu.Vous pouvez y aller lorsque nous nous arrêtons pour le gaz.
"Oh, come on, there's a rest stop right up there! Come on, I really have to goooooooooo.",happiness,"Oh, allez, il y a un arrêt de repos là-haut!Allez, je dois vraiment goooooooooo."
"Oh, now I have to go!!",happiness,"Oh, maintenant je dois y aller !!"
"Here we go. Okay, brace yourselves.",neutral,"On y va.D'accord, préparez-vous."
What?,fear,Quoi?
Okay.,happiness,D'accord.
Ow!,fear,Ow!
Aren't you gonna go?,neutral,Tu n'es pas y aller?
No. Thank you.,neutral,Non. Merci.
"No, Rachel never pees in public restrooms.",neutral,"Non, Rachel ne fait jamais pipi dans les toilettes publiques."
"Well, they never have any paper in there y'know. So my rule is 'no tissue, no tuschy.' Well, if everybody's going.",happiness,"Eh bien, ils n'ont jamais de papier là-dedans.Donc, ma règle est «pas de tissu, pas de tuschy».Eh bien, si tout le monde va."
"No, y'know what don't close it 'cause the... keys...are in there.",neutral,"Non, vous savez ce qui ne le ferme pas parce que les ... clés ... sont là."
"Oh, no-no-no-no-no-no!!",happiness,"Oh, pas pas de non-no-no-ni !!"
What's going on?,neutral,Que se passe-t-il?
My lighter's in there!,fear,Mon briquet est là-dedans!
Hi!,happiness,Salut!
Hey.,neutral,Hé.
"Hey, what are you doing here?",neutral,"Hé, qu'est-ce que tu fais ici?"
"Well, oh just ah, I was just wondering, when you and I split up, did you get the tape that was half the last episode of M*A*S*H and half the hostages coming home?",happiness,"Eh bien, oh juste ah, je me demandais juste, quand vous et moi nous sommes séparés, avez-vous obtenu la bande qui était la moitié du dernier épisode de M * A * S * H ​​et la moitié des otages rentrant à la maison?"
"Ah yeah, but now it's Susan and me in Mexico and the hostages coming home.",happiness,"Ah ouais, mais maintenant c'est Susan et moi au Mexique et les otages qui rentrent à la maison."
Where's Ben?,neutral,Où est Ben?
He's sleeping.,neutral,Il dort.
"Ahh. Ooh, is this a ah, is this a bad time?",fear,"Ahh.Ooh, est-ce un ah, est-ce un mauvais moment?"
"Umm, yeah, actually, Susan's gonna be home any minute, it's kinda an anniversary.",happiness,"Umm, ouais, en fait, Susan va être à la maison à une minute, c'est un anniversaire."
"Oh! I thought you guys got married in uh, January?",happiness,Oh!Je pensais que vous vous êtes marié en janvier?
It's not that kind of anniversary.,neutral,Ce n'est pas ce genre d'anniversaire.
Ah! Oh.,neutral,Ah!Oh.
Sooo!! Anyway...,neutral,Sooo !!De toute façon...
"Umm, candles, champagne, yeah anniversaries are great. 'Cause you know love lasts forever, y'know. Nothing like it in this lifetime, money in the bank, so Rachel and I broke up.",sadness,"Umm, les bougies, le champagne, les anniversaires ouais sont super.Parce que tu sais que l'amour dure pour toujours, tu sais.Rien de tel dans cette vie, de l'argent à la banque, alors Rachel et moi avons rompu."
"Oh God, Ross I am so sorry.",sadness,"Oh mon Dieu, Ross je suis vraiment désolé."
"Yeah, well.",neutral,"Ouais, eh bien."
"Y'know what, I want to talk to you about this so much, but we should probably do it when we could really get into it, are you free for dinner tomorrow night?",happiness,"Vous savez quoi, je veux vous en parler tellement, mais nous devrions probablement le faire quand nous pourrions vraiment y entrer, êtes-vous gratuit pour le dîner demain soir?"
"Oh yeah, I'd love that.",happiness,"Oh ouais, j'adorerais ça."
"Oh, great! Me too.",happiness,"Oh, super!Moi aussi."
I guess it all started when Rachel got this new job.,sadness,Je suppose que tout a commencé lorsque Rachel a obtenu ce nouvel emploi.
"Okay, yeah. Triple A can pick us up.",neutral,"D'accord, ouais.Triple A peut venir nous chercher."
Great!,happiness,Super!
"Yeah, what town are we near?",neutral,"Ouais, de quelle ville sommes-nous près?"
"Freemont. West-Westmont, ah Westburg?",neutral,"Freemont.West-Westmont, Ah Westburg?"
Then why are you answering? Do you at least know what route we're on?,anger,Alors pourquoi répondez-vous?Savez-vous au moins sur quelle route nous sommes?
"Yeah, we are definitely on Route 27.",neutral,"Oui, nous sommes définitivement sur la route 27."
"Okay. We are at a rest stop on Route 27. Okay. There is no Route 27. Okay, either 93 or 76?",anger,"D'accord.Nous sommes à un arrêt de repos sur la route 27. D'accord.Il n'y a pas de route 27. D'accord, 93 ou 76?"
"I don't know, I'm sorry, I always slept in the back when we drove up here.",fear,"Je ne sais pas, je suis désolé, j'ai toujours dormi à l'arrière quand nous avons roulé ici."
"Okay. Hey, can you send somebody up and down 76 and check every rest stop, and, and also 93? Okay! Yeah, no they don't do that.",fear,"D'accord.Hé, pouvez-vous envoyer quelqu'un de haut en bas 76 et vérifier chaque arrêt de repos, et aussi 93?D'accord!Ouais, non, ils ne font pas ça."
"Ugh, okay, well somebody will come and save us.",fear,"Ugh, d'accord, bien quelqu'un viendra nous sauver."
"Who? I mean have you seen a car come by here in the last hour and a half? I think we should call Ross, maybe he can get a car and come pick us up.",fear,"OMS?Je veux dire, avez-vous vu une voiture venir ici au cours de la dernière heure et demie?Je pense que nous devrions appeler Ross, peut-être qu'il peut obtenir une voiture et venir nous chercher."
"No! No, I am not getting in a car with Ross, we will just have to live here!",anger,"Non!Non, je ne monte pas dans une voiture avec Ross, nous devrons juste vivre ici!"
But if...,fear,Mais si ...
"No you guys, I am not getting in a car with him, you'll have to think of something else.",anger,"Non vous les gars, je ne monte pas dans une voiture avec lui, vous devrez penser à autre chose."
"Oh good, oh Joey and Chandler are back.",happiness,"Oh bien, Oh Joey et Chandler sont de retour."
So the going for help went well?,neutral,"Alors, le travail pour l'aide s'est bien passé?"
"Oh yeah, Smokey Joe here got half way to the highway and collapsed.",anger,"Oh ouais, Smokey Joe ici est arrivé à mi-chemin de l'autoroute et s'est effondré."
I have the lung capacity of a two year old.,neutral,J'ai la capacité pulmonaire d'un enfant de deux ans.
Then why are you smoking?,anger,Alors pourquoi fumez-vous?
Well it's very unsettling.,neutral,"Eh bien, c'est très troublant."
"....right? Right? I mean it's pretty unbelievable y'know, I mean they just took off, took off without even looking back. Y'know I don't, I don't need them, huh, I've got you guys now as friends, you and Susan.",fear,"....droite?Droite?Je veux dire que c'est assez incroyable que vous savez, je veux dire qu'ils ont décollé, ont décollé sans même regarder en arrière.Vous savez que non, je n'en ai pas besoin, hein, je vous ai maintenant en tant qu'amis, vous et Susan."
"Ah, Susan will be so pleased.",happiness,"Ah, Susan sera tellement heureuse."
"717? Where's 717? Hey, you've have more of these for Susan right?",neutral,"717?Où est 717?Hé, vous en avez plus pour Susan, non?"
"No. But it's okay, I'll just put out pickles or something.",neutral,"Non. Mais ça va, je vais juste éteindre des cornichons ou quelque chose comme ça."
"Ross, thank God.",happiness,"Ross, Dieu merci."
"Pheebs? What, why are you whispering?",neutral,"Pheebs?Quoi, pourquoi chuchotez-vous?"
I ate a bug.,fear,J'ai mangé un bug.
"Hey Rach, the tampons here are only a penny. Let's stock up.",neutral,"Hé Rach, les tampons ici ne sont qu'un sou.Rassisons."
"Listen Ross, we ran out of gas, and we don't know where we are, so we can't get a tow truck.",sadness,"Écoutez Ross, nous avons manqué de gaz, et nous ne savons pas où nous sommes, donc nous ne pouvons pas obtenir de dépanneuse."
"Oh, now you want a favour?",anger,"Oh, maintenant tu veux une faveur?"
"Yes, please.",neutral,Oui s'il vous plait.
"Well, oh, I'm sorry your car broke down Pheebs, but I'm a little too busy with some of my real friends right now, but please call to let me know you got home safely okay?",neutral,"Eh bien, oh, je suis désolé que ta voiture soit tombée en panne, mais je suis un peu trop occupé avec certains de mes vrais amis en ce moment, mais veuillez appeler pour me faire savoir que tu es rentré en toute sécurité?"
"Phoebe, hang on a second. Here, take my car, go pick up your friends.",happiness,"Phoebe, accrochez-vous à une seconde.Ici, prenez ma voiture, allez chercher vos amis."
"No, I'm not gonna pick them up.",happiness,"Non, je ne vais pas les chercher."
